"preds","gold"
"keywords all [e]","important all [e]"
"includes [e]","includes [e]"
"filter id 987 and nlpattribute all [e]","filter id 987 and nlpattribute all [e]"
"filter id 320 and predict [e]","filter id 320 and predict [e]"
"filter id 1201 and rationalize [e]","filter id 1201 and rationalize [e]"
"filter id 30 and similar 2 [e]","filter id 30 and similar 2 [e]"
"important all [e]","important all [e]"
"filter id 100006 and nlpattribute all [e]","filter id 100006 and nlpattribute all [e]"
"includes [e]","includes [e]"
"countdata [e]","countdata [e]"
"filter id 34 and cfe [e]","filter id 34 and cfe [e]"
"mistake sample [e]","mistake sample [e]"
"filter id 120001 and nlpattribute all [e]","filter id 120001 and nlpattribute all [e]"
"data [e]","data [e]"
"countdata [e]","countdata [e]"
"countdata [e]","countdata [e]"
"keywords all [e]","keywords all [e]"
"includes [e]","includes [e]"
"data [e]","data [e]"
"filter id 111 and nlpattribute topk 1 [e]","filter id 111 and nlpattribute topk 1 [e]"
"includes [e]","includes [e]"
"filter id 35 and similar 3 [e]","filter id 35 and similar 3 [e]"
"data [e]","data [e]"
"includes and countdata [e]","includes and countdata [e]"
"score accuracy [e]","score accuracy [e]"
"important False [e]","important False [e]"
"includes [e]","includes [e]"
"filter id 120001 and nlpattribute all [e]","filter id 120001 and nlpattribute all [e]"
"data [e]","data [e]"
"filter id 120001 and nlpattribute all [e]","filter id 120001 and nlpattribute all [e]"
"important False [e]","important False [e]"
"important False [e]","important False [e]"
"score f1 [e]","score f1 [e]"
"filter id 120001 and nlpattribute all [e]","filter id 120001 and nlpattribute all [e]"
"filter id 1553 and predict and nlpattribute all [e]","filter id 1553 and predict and nlpattribute all [e]"
"filter id 100006 and nlpattribute all [e]","filter id 100006 and nlpattribute all [e]"
"nlpattribute sentence [e]","nlpattribute sentence [e]"
"filter id 75 and similar 5 [e]","filter id 75 and similar 5 [e]"
"filter id 1201 and rationalize [e]","filter id 1201 and rationalize [e]"
"purpose [e]","self and function [e]"
"data [e]","data [e]"
"important False [e]","important False [e]"
"filter id 1234 or filter id 56 and nlpattribute topk 6 [e]","filter id 1234 or filter id 56 and nlpattribute topk 6 [e]"
"nlpattribute sentence [e]","nlpattribute sentence [e]"
"mistake sample [e]","mistake sample [e]"
"filter id 320 and predict [e]","filter id 320 and predict [e]"
"filter id 1201 and rationalize [e]","filter id 1201 and rationalize [e]"
"filter id 320 and predict [e]","filter id 320 and predict [e]"
"score f1 [e]","score f1 [e]"
"important all [e]","important all [e]"
"model [e]","model [e]"
"filter id 78 and nlpattribute topk 4 [e]","filter id 78 and nlpattribute topk 4 [e]"
"filter id 111 and nlpattribute topk 1 [e]","filter id 111 and nlpattribute topk 1 [e]"
"filter id 987 and nlpattribute all [e]","filter id 987 and nlpattribute all [e]"
"filter id 100006 and nlpattribute all [e]","filter id 100006 and nlpattribute all [e]"
"filter id 78 and nlpattribute topk 4 [e]","filter id 78 and nlpattribute topk 4 [e]"
"filter id 34 and cfe [e]","filter id 34 and cfe [e]"
"important all [e]","important all [e]"
"keywords all [e]","important all [e]"
"mistake sample [e]","mistake sample [e]"
"filter id 987 and nlpattribute all [e]","filter id 987 and nlpattribute all [e]"
"important False [e]","important False [e]"
"filter id 1234 or filter id 56 and nlpattribute topk 6 [e]","filter id 1234 or filter id 56 and nlpattribute topk 6 [e]"
"predict [e]","predict [e]"
"purpose [e]","self and function [e]"
"filter id 29 and nlpattribute topk 2 [e]","filter id 29 and nlpattribute topk 2 [e]"
"includes [e]","includes [e]"
"filter id 3141 and rationalize [e]","filter id 3141 and rationalize [e]"
"self [e]","self [e]"
"important False [e]","important False [e]"
"filter id 35 and similar 3 [e]","filter id 35 and similar 3 [e]"
"filter id 78 and nlpattribute topk 4 [e]","filter id 78 and nlpattribute topk 4 [e]"
"score accuracy [e]","score accuracy [e]"
"score accuracy [e]","score accuracy [e]"
"filter id 30 and similar 2 [e]","filter id 30 and similar 2 [e]"
"purpose [e]","self and function [e]"
"filter id 34 and cfe [e]","filter id 34 and cfe [e]"
"filter id 320 and predict [e]","filter id 320 and predict [e]"
"important all [e]","important all [e]"
"filter id 1553 and predict and nlpattribute all [e]","filter id 1553 and predict and nlpattribute all [e]"
"filter id 987 and nlpattribute all [e]","filter id 987 and nlpattribute all [e]"
"important topk 5 [e]","important topk 5 [e]"
"filter id 100006 and nlpattribute all [e]","filter id 100006 and nlpattribute all [e]"
"important all [e]","important all [e]"
"important topk 5 [e]","important topk 5 [e]"
"important True [e]","important True [e]"
"important True [e]","important True [e]"
"filter id 1201 and rationalize [e]","filter id 1201 and rationalize [e]"
"important False [e]","important False [e]"
"important False [e]","important False [e]"
"keywords all [e]","keywords all [e]"
"filter id 1553 and predict and nlpattribute all [e]","filter id 1553 and predict and nlpattribute all [e]"
"filter id 34 and cfe [e]","filter id 34 and cfe [e]"
"filter id 34 and cfe [e]","filter id 34 and cfe [e]"
"includes and predict [e]","includes and predict [e]"
"important all [e]","important all [e]"
"data [e]","data [e]"
"countdata [e]","countdata [e]"
"important False [e]","important False [e]"
"filter id 1201 and rationalize [e]","filter id 1201 and rationalize [e]"
