idx,questions,choices,labels
0,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore|enforce|authoritarian|yell at|avoid,0
1,Sammy wanted to go to where the people were.  Where might he go?,race track|populated areas|the desert|apartment|roadblock,1
2,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store|neck|jewlery box|jewelry box|boutique,0
3,Google Maps and other highway and street GPS services have replaced what?,united states|mexico|countryside|atlas|oceans,3
4,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.|hen house|natural habitat|storybook|dense forest,2
5,What home entertainment equipment requires cable?,radio shack|substation|cabinet|television|desk,3
6,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can|military|jewelry store|safe|airport,4
7,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet|refrigerator|breadbox|fridge|coach,1
8,What do people use to absorb extra ink from a fountain pen?,shirt pocket|calligrapher's hand|inkwell|desk drawer|blotter,4
9,Where is a business restaurant likely to be located?,town|at hotel|mall|business sector|yellow pages,3
10,Where do you put your grapes just before checking out?,mouth|grocery cart|super market|fruit basket|fruit market,1
11,"Before getting a divorce, what did the wife feel who was doing all the work?",harder|anguish|bitterness|tears|sadness,2
12,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park|bus depot|garden|gym|rest area,2
13,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat|revenge|expansion|relaxation|calm down,0
14,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard|basement|kitchen|living room|garden,2
15,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands|new york|forest|louisiana|everglades,3
16,What is it called when you slowly cook using a grill?,backyard|restaurant|crockpot|neighbor's house|barbeque,4
17,What type of person typically contracts illness?,hospital|head|sick person|elderly person|doctor's office,3
18,Where would you expect to find a pizzeria while shopping?,chicago|street|little italy|food court|capital cities,3
19,"When eating everything on the tasting menu, what does one tend to feel?",full stomach|getting full|gaining weight|sick|satisfaction,1
20,What does playing soccer for a long time lead to?,excitement|fatigue|anger|hurting|getting tired,4
21,Which entrance would you use if you do not want to use the back entrance?,side|main|anterior|current|front,1
22,You can share files with someone if you have a connection to a what?,freeway|radio|wires|computer network|electrical circuit,3
23,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car|fuel system|accelerate|boat|airplane,4
24,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money|hurt feelings|being found out|problems|trouble,2
25,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park|make time for|receive instructions|take money|leave work,3
26,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk|lay down|working|moving|exercise,3
27,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch|shop|north america|pet shops|outdoors,3
